CÓDIGO	LINHAS	CATEGORIA
001	Circular Centro (horário)	Micro Ônibus
002	Circular Centro (anti-horário)	Micro Ônibus
003	Circular Estação	Micro Ônibus
010	Interbairros I (horário)	Interbairros
011	Interbairros I (anti-horário)	Interbairros
020	Interbairros II (horário)	Interbairros
021	Interbairros II (anti-horário)	Interbairros
022	Inter II (horário)	Linha Direta
023	Inter II (anti-horário)	Linha Direta
024	Portão / Camp. Siqueira	Linha Direta
024	C. Raso / Camp. Siqueira	Linha Direta
025	Circular Bairros (horário)	Deficientes
026	Circular Bairros (anti-horário)	Deficientes
027	C. Raso / C. Siqueira	Interbairros
030	Interbairros III	Interbairros
040	Interbairros IV	Interbairros
041	Sta. Felicidade / C. Comprido	Interbairros
042	Boqueirão / Cic	Interbairros
043	Boqueirão / Sítio Cercado	Interbairros
044	Reforço Campo Comprido	Interbairros
050	Interbairros V	Interbairros
060	Interbairros VI	Interbairros
105	Tamandaré / Cabral	Linha Direta
150	C. Música / Vista Alegre	Micro Ônibus
160	Jd. Mercês / Guanabara	Convencional
165	Raquel Prado / Puc	Convencional
166	V.Nori	Convencional
167	Fredolin Wolf	Convencional
168	Raposo Tavares	Convencional
169	Jd. Kosmos	Convencional
170	Bracatinga	Convencional
171	Primavera	Convencional
172	Alferes Poli	Convencional
175	Bom Retiro / Puc	Convencional
176	Nilo Peçanha	Micro Ônibus
180	Taboão / C. Santo	Convencional
180	Água Verde / Abranches	Convencional
181	Mateus Leme	Convencional
182	Abranches	Troncal
183	Jd. Chaparral	Convencional
184	V. Suiça	Convencional
188	M. Pilarzinho / Uberaba	Madrugueiro
189	Mad. Abranches	Madrugueiro
194	E. E. Barreirinha	Ensino Especial
195	E. E. Apae 4	Ensino Especial
196	E. E. Pilarzinho	Ensino Especial
197	E. E. Helena Antipoff 3	Ensino Especial
198	E. E. Boa Vista	Ensino Especial
199	E. E. Apae 5	Ensino Especial
201	Cabral / Bom Retiro	Convencional
202	Boa Vista 	Expresso
203	Sta. Cândida / Capão Raso	Expresso
203	Sta. Cândida / Capão Raso	Bi-Articulado
204	Cabral / Pinheirinho	Linha Direta
204	Sta. Cândida / Pinheirinho	Linha Direta
205	Barreirinha	Troncal
206	Barreirinha / São José	Linha Direta
207	Cabral / Osório	Troncal
208	Aeroporto	Linha Direta
209	Mad. S. Cândida / C. Raso	Madrugueiro
211	Colina Verde	Alimentador
212	Solar	Alimentador
213	São João	Alimentador
214	Tingui	Alimentador
215	Cabral / Cachoeira	Alimentador
216	Cabral / Portão	Alimentador
217	Cabral / Alto da XV	Alimentador
218	Tamandaré / Cabral	Alimentador
219	Reforço Colina	Alimentador
221	Rio Verde	Alimentador
222	V. Esperança	Alimentador
224	Cassiopéia	Alimentador
225	Boa Vista / Barreirinha	Alimentador
226	Abaeté	Alimentador
229	Mad. Penha / Fernando de Noronha	Madrugueiro
231	Banestado / Califórnia	Alimentador
232	Aliança	Alimentador
233	Olaria	Alimentador
234	B. Alto A	Alimentador
234	Secretarias	Alimentador
235	Rocio	Alimentador
236	São Benedito	Alimentador
241	Cachoeira	Alimentador
242	V. Leonice	Alimentador
243	Sta. Terezinha	Alimentador
244	Jd. Do Arroio	Alimentador
252	Juvevê / C. Santo	Convencional
259	Mad. Norte	Madrugueiro
260	Marechal Hermes	Convencional
260	Mal. Hermes / Sta. Efigênia	Convencional
265	Ahú / Los Angeles	Convencional
266	Estribo Ahú	Convencional
267	V. Ipiranga	Convencional
268	Pq. Barreirinha / São Lourenço	Proparque
270	Fernando de Noronha	Convencional
271	Laranjeiras	Convencional
272	Paineiras	Convencional
273	Sta. Efigênia	Convencional
274	Sta. Gema	Convencional
275	V. Leonice	Convencional
276	Sta. Terezinha	Convencional
277	Cachoeira	Convencional
278	São Lourenço / Barreirinha	Proparque
278	Volta ao Mundo	Turismo
280	Nossa Sra. de Nazaré	Convencional
285	Juvevê / Água Verde	Convencional
289	Mad. Cachoeira	Madrugueiro
289	Mad. Jd. Graziela	Madrugueiro
290	Solar	Opcional
294	E. E. Ecumênica 6	Ensino Especial
295	E. E. Ecumênica 5	Ensino Especial
296	E. E. Sta. Cândida	Ensino Especial
297	E. E. Atuba	Ensino Especial
298	E. E. Luan Mueller 4	Ensino Especial
298	E. E. Alcindo Fanaya 3	Ensino Especial
299	E. E. Ecumênica 4	Ensino Especial
301	Capão da Imbuia	Expresso
301	Pinhais / Rui Barbosa	Bi-Articulado
302	Oficinas	Expresso
302	Centenário / Rui Barbosa	Bi-Articulado
303	Centenário	Expresso
303	Centenário / C. Comprido	Bi-Articulado
304	Leste / Oeste	Linha Direta
304	Pinhais / C. Comprido	Linha Direta
305	Centenário	Linha Direta
306	C. Imbuia / Centenário	Bi-Articulado
307	B. Alto / Sta. Felicidade	Linha Direta
308	Mad. Centenário / Rui Barbosa	Madrugueiro
309	Mad. Centenário	Madrugueiro
311	Araguaia	Alimentador
312	C. Imbuia / Cohab	Alimentador
312	C. Imbuia / Pinhais	Alimentador
313	Avenida Iraí / C. Imbuia	Alimentador
319	Mad. Leste	Madrugueiro
321	Trindade	Alimentador
322	Camargo	Alimentador
323	Autódromo	Alimentador
331	Mercúrio	Alimentador
332	Acrópole	Alimentador
333	Marumbi	Alimentador
333	Marumbi / Jd. Itiberê	Alimentador
334	Agrícola	Alimentador
335	Centenário / Boqueirão	Alimentador
336	V. Reno	Alimentador
337	São José / Pinhais	Alimentador
338	Centenário / Hauer	Alimentador
339	Reforço Centenário / Hauer	Alimentador
340	Detran / B. Alto	Linha Direta
341	B. Alto / Sta. Cândida	Alimentador
342	B. Alto / Boa Vista	Alimentador
343	Paraíso	Alimentador
344	Copel	Alimentador
360	Novena	Convencional
361	Augusto Stresser	Convencional
362	Hugo Lange	Convencional
365	Jd. Social / Batel	Convencional
366	Itupava / Cohab	Convencional
366	Itupava / Hosp. Militar	Convencional
370	Rua XV / Barigui	Convencional
371	Higienópolis	Convencional
372	Tarumã	Convencional
373	Alto Tarumã	Convencional
374	Hugo Lange	Convencional
375	Sacre Coeur	Convencional
