Linha,203
Tabela,12-1
num,ponto,horario
104801,TERMINAL CAPAO RASO,05:55
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:13
108023,ESTACAO TUBO CENTRAL/NORTE,06:25
104411,TERMINAL CABRAL/SENTIDO NORTE,06:36
105901,TERMINAL SANTA CANDIDA,06:54
104413,TERMINAL CABRAL/SENTIDO SUL,07:07
108024,ESTACAO TUBO CENTRAL/SUL,07:19
108036,ESTACAO TUBO BENTO VIANA/SUL,07:33
104801,TERMINAL CAPAO RASO,07:56
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:15
108023,ESTACAO TUBO CENTRAL/NORTE,08:27
104411,TERMINAL CABRAL/SENTIDO NORTE,08:38
