Linha,639
Tabela,1
num,ponto,horario
160070,BAIRRO FUTURAMA,04:50
105715,TERMINAL PINHEIRINHO,05:13
160070,BAIRRO FUTURAMA,05:36
105715,TERMINAL PINHEIRINHO,06:00
160070,BAIRRO FUTURAMA,06:23
105715,TERMINAL PINHEIRINHO,06:54
160070,BAIRRO FUTURAMA,07:24
105715,TERMINAL PINHEIRINHO,07:58
160070,BAIRRO FUTURAMA,08:25
105715,TERMINAL PINHEIRINHO,08:55
160070,BAIRRO FUTURAMA,09:22
105715,TERMINAL PINHEIRINHO,09:54
160070,BAIRRO FUTURAMA,10:21
105715,TERMINAL PINHEIRINHO,10:50
160070,BAIRRO FUTURAMA,11:17
105715,TERMINAL PINHEIRINHO,11:46
160070,BAIRRO FUTURAMA,12:13
105715,TERMINAL PINHEIRINHO,12:42
160070,BAIRRO FUTURAMA,13:09
105715,TERMINAL PINHEIRINHO,13:38
160070,BAIRRO FUTURAMA,14:05
105715,TERMINAL PINHEIRINHO,14:34
160070,BAIRRO FUTURAMA,15:01
105715,TERMINAL PINHEIRINHO,15:31
160070,BAIRRO FUTURAMA,15:59
105715,TERMINAL PINHEIRINHO,16:29
160070,BAIRRO FUTURAMA,17:03
105715,TERMINAL PINHEIRINHO,17:35
160070,BAIRRO FUTURAMA,18:08
105715,TERMINAL PINHEIRINHO,18:42
160070,BAIRRO FUTURAMA,19:15
105715,TERMINAL PINHEIRINHO,19:45
