Linha,X42
Tabela,001-2
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,16:35
104406,TERMINAL CABRAL,17:15
104703,TERMINAL CAPAO DA IMBUIA,18:00
104406,TERMINAL CABRAL,18:42
104703,TERMINAL CAPAO DA IMBUIA,19:30
104406,TERMINAL CABRAL,20:04
104703,TERMINAL CAPAO DA IMBUIA,20:34
104406,TERMINAL CABRAL,21:09
104703,TERMINAL CAPAO DA IMBUIA,21:39
104406,TERMINAL CABRAL,22:14
104703,TERMINAL CAPAO DA IMBUIA,22:44
104406,TERMINAL CABRAL,23:19
104703,TERMINAL CAPAO DA IMBUIA,23:49
104406,TERMINAL CABRAL,00:15
