Linha,X45
Tabela,001
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,05:55
109119,TERMINAL CAPAO DA IMBUIA,06:11
109120,TERMINAL BAIRRO ALTO,06:31
109119,TERMINAL CAPAO DA IMBUIA,06:47
109120,TERMINAL BAIRRO ALTO,07:07
109119,TERMINAL CAPAO DA IMBUIA,07:23
109120,TERMINAL BAIRRO ALTO,07:43
109119,TERMINAL CAPAO DA IMBUIA,08:01
109120,TERMINAL BAIRRO ALTO,08:21
109119,TERMINAL CAPAO DA IMBUIA,08:39
109120,TERMINAL BAIRRO ALTO,08:59
109119,TERMINAL CAPAO DA IMBUIA,09:17
109120,TERMINAL BAIRRO ALTO,09:37
109119,TERMINAL CAPAO DA IMBUIA,09:55
109120,TERMINAL BAIRRO ALTO,10:15
109119,TERMINAL CAPAO DA IMBUIA,10:33
109120,TERMINAL BAIRRO ALTO,10:53
109119,TERMINAL CAPAO DA IMBUIA,11:11
109120,TERMINAL BAIRRO ALTO,11:31
109119,TERMINAL CAPAO DA IMBUIA,11:49
109120,TERMINAL BAIRRO ALTO,12:09
109119,TERMINAL CAPAO DA IMBUIA,12:27
109120,TERMINAL BAIRRO ALTO,12:47
109119,TERMINAL CAPAO DA IMBUIA,13:05
109120,TERMINAL BAIRRO ALTO,13:25
109119,TERMINAL CAPAO DA IMBUIA,13:43
109120,TERMINAL BAIRRO ALTO,14:03
109119,TERMINAL CAPAO DA IMBUIA,14:21
109120,TERMINAL BAIRRO ALTO,14:41
109119,TERMINAL CAPAO DA IMBUIA,14:59
109120,TERMINAL BAIRRO ALTO,15:19
109119,TERMINAL CAPAO DA IMBUIA,15:37
109120,TERMINAL BAIRRO ALTO,15:57
109119,TERMINAL CAPAO DA IMBUIA,16:15
109120,TERMINAL BAIRRO ALTO,16:35
109119,TERMINAL CAPAO DA IMBUIA,16:53
109120,TERMINAL BAIRRO ALTO,17:13
109119,TERMINAL CAPAO DA IMBUIA,17:31
109120,TERMINAL BAIRRO ALTO,17:51
109119,TERMINAL CAPAO DA IMBUIA,18:09
109120,TERMINAL BAIRRO ALTO,18:29
109119,TERMINAL CAPAO DA IMBUIA,18:47
109120,TERMINAL BAIRRO ALTO,19:07
109119,TERMINAL CAPAO DA IMBUIA,19:25
109120,TERMINAL BAIRRO ALTO,19:45
109119,TERMINAL CAPAO DA IMBUIA,20:03
109120,TERMINAL BAIRRO ALTO,20:23
109119,TERMINAL CAPAO DA IMBUIA,20:41
109120,TERMINAL BAIRRO ALTO,20:59
109119,TERMINAL CAPAO DA IMBUIA,21:15
109120,TERMINAL BAIRRO ALTO,21:33
109119,TERMINAL CAPAO DA IMBUIA,21:49
109120,TERMINAL BAIRRO ALTO,22:07
109119,TERMINAL CAPAO DA IMBUIA,22:23
109120,TERMINAL BAIRRO ALTO,22:41
109119,TERMINAL CAPAO DA IMBUIA,22:57
109120,TERMINAL BAIRRO ALTO,23:15
109119,TERMINAL CAPAO DA IMBUIA,23:31
109120,TERMINAL BAIRRO ALTO,23:49
109119,TERMINAL CAPAO DA IMBUIA,00:05
109120,TERMINAL BAIRRO ALTO,00:23
